activityID,startTime_x,linkedEvents_x,gstID,startTime_y,linkedEvents_y,linkedActivityID,startTime_CME,startTime_GST,timeDiff
2015-06-21T02:48:00-CME-001,2015-06-21T02:48Z,"[{'activityID': '2015-06-21T01:02:00-FLR-001'}, {'activityID': '2015-06-21T02:06:00-FLR-001'}, {'activityID': '2015-06-21T20:35:00-SEP-001'}, {'activityID': '2015-06-22T17:59:00-IPS-001'}, {'activityID': '2015-06-22T18:00:00-GST-001'}, {'activityID': '2015-06-22T18:49:00-MPC-001'}, {'activityID': '2015-06-24T13:10:00-RBE-001'}]",2015-06-22T18:00:00-GST-001,2015-06-22T18:00Z,"[{'activityID': '2015-06-21T02:48:00-CME-001'}, {'activityID': '2015-06-22T17:59:00-IPS-001'}]",2015-06-21T02:48:00-CME-001,2015-06-21 02:48:00+00:00,2015-06-22 18:00:00+00:00,1 days 15:12:00
2015-06-22T18:36:00-CME-001,2015-06-22T18:36Z,"[{'activityID': '2015-06-22T17:39:00-FLR-001'}, {'activityID': '2015-06-24T12:57:00-IPS-001'}, {'activityID': '2015-06-25T06:00:00-GST-001'}]",2015-06-25T06:00:00-GST-001,2015-06-25T06:00Z,"[{'activityID': '2015-06-22T18:36:00-CME-001'}, {'activityID': '2015-06-24T12:57:00-IPS-001'}]",2015-06-22T18:36:00-CME-001,2015-06-22 18:36:00+00:00,2015-06-25 06:00:00+00:00,2 days 11:24:00
2015-08-12T15:12:00-CME-001,2015-08-12T15:12Z,"[{'activityID': '2015-08-15T07:43:00-IPS-001'}, {'activityID': '2015-08-15T09:00:00-GST-001'}, {'activityID': '2015-08-15T11:03:00-MPC-001'}]",2015-08-15T09:00:00-GST-001,2015-08-15T09:00Z,"[{'activityID': '2015-08-12T15:12:00-CME-001'}, {'activityID': '2015-08-13T00:30:00-CME-001'}, {'activityID': '2015-08-15T07:43:00-IPS-001'}, {'activityID': '2015-08-15T11:03:00-MPC-001'}]",2015-08-12T15:12:00-CME-001,2015-08-12 15:12:00+00:00,2015-08-15 09:00:00+00:00,2 days 17:48:00
2015-09-04T14:12:00-CME-001,2015-09-04T14:12Z,[{'activityID': '2015-09-09T03:00:00-GST-001'}],2015-09-09T03:00:00-GST-001,2015-09-09T03:00Z,"[{'activityID': '2015-09-04T14:12:00-CME-001'}, {'activityID': '2015-09-04T19:24:00-CME-001'}]",2015-09-04T14:12:00-CME-001,2015-09-04 14:12:00+00:00,2015-09-09 03:00:00+00:00,4 days 12:48:00
2015-09-06T23:30:00-CME-001,2015-09-06T23:30Z,[{'activityID': '2015-09-11T06:00:00-GST-001'}],2015-09-11T06:00:00-GST-001,2015-09-11T06:00Z,"[{'activityID': '2015-09-06T23:30:00-CME-001'}, {'activityID': '2015-09-07T10:36:00-CME-001'}, {'activityID': '2015-09-11T06:43:00-HSS-001'}]",2015-09-06T23:30:00-CME-001,2015-09-06 23:30:00+00:00,2015-09-11 06:00:00+00:00,4 days 06:30:00
2015-09-18T05:00:00-CME-001,2015-09-18T05:00Z,"[{'activityID': '2015-09-20T05:33:00-IPS-001'}, {'activityID': '2015-09-20T06:00:00-GST-001'}, {'activityID': '2015-09-20T09:00:00-GST-001'}]",2015-09-20T06:00:00-GST-001,2015-09-20T06:00Z,"[{'activityID': '2015-09-18T05:00:00-CME-001'}, {'activityID': '2015-09-20T05:33:00-IPS-001'}]",2015-09-18T05:00:00-CME-001,2015-09-18 05:00:00+00:00,2015-09-20 06:00:00+00:00,2 days 01:00:00
2015-09-18T05:00:00-CME-001,2015-09-18T05:00Z,"[{'activityID': '2015-09-20T05:33:00-IPS-001'}, {'activityID': '2015-09-20T06:00:00-GST-001'}, {'activityID': '2015-09-20T09:00:00-GST-001'}]",2015-09-20T09:00:00-GST-001,2015-09-20T09:00Z,"[{'activityID': '2015-09-18T05:00:00-CME-001'}, {'activityID': '2015-09-20T05:33:00-IPS-001'}]",2015-09-18T05:00:00-CME-001,2015-09-18 05:00:00+00:00,2015-09-20 09:00:00+00:00,2 days 04:00:00
2015-11-04T14:24:00-CME-001,2015-11-04T14:24Z,"[{'activityID': '2015-11-04T13:30:00-FLR-001'}, {'activityID': '2015-11-06T17:34:00-IPS-001'}, {'activityID': '2015-11-07T03:00:00-GST-001'}, {'activityID': '2015-11-09T13:15:00-RBE-001'}]",2015-11-07T03:00:00-GST-001,2015-11-07T03:00Z,"[{'activityID': '2015-11-04T14:24:00-CME-001'}, {'activityID': '2015-11-06T17:34:00-IPS-001'}]",2015-11-04T14:24:00-CME-001,2015-11-04 14:24:00+00:00,2015-11-07 03:00:00+00:00,2 days 12:36:00
2015-12-16T09:36:00-CME-001,2015-12-16T09:36Z,"[{'activityID': '2015-12-16T08:34:00-FLR-001'}, {'activityID': '2015-12-19T15:27:00-IPS-001'}, {'activityID': '2015-12-20T00:04:00-MPC-001'}, {'activityID': '2015-12-20T03:00:00-GST-001'}]",2015-12-20T03:00:00-GST-001,2015-12-20T03:00Z,"[{'activityID': '2015-12-16T09:36:00-CME-001'}, {'activityID': '2015-12-16T14:48:00-CME-001'}, {'activityID': '2015-12-19T15:27:00-IPS-001'}, {'activityID': '2015-12-20T00:04:00-MPC-001'}]",2015-12-16T09:36:00-CME-001,2015-12-16 09:36:00+00:00,2015-12-20 03:00:00+00:00,3 days 17:24:00
2015-12-28T12:39:00-CME-001,2015-12-28T12:39Z,"[{'activityID': '2015-12-28T11:20:00-FLR-001'}, {'activityID': '2015-12-31T00:02:00-IPS-001'}, {'activityID': '2015-12-31T13:30:00-GST-001'}, {'activityID': '2015-12-31T23:52:00-MPC-001'}, {'activityID': '2016-01-02T12:25:00-RBE-001'}]",2015-12-31T13:30:00-GST-001,2015-12-31T13:30Z,"[{'activityID': '2015-12-28T12:39:00-CME-001'}, {'activityID': '2015-12-31T23:52:00-MPC-001'}]",2015-12-28T12:39:00-CME-001,2015-12-28 12:39:00+00:00,2015-12-31 13:30:00+00:00,3 days 00:51:00
2016-01-15T00:00:00-CME-001,2016-01-15T00:00Z,"[{'activityID': '2016-01-18T21:00:00-IPS-001'}, {'activityID': '2016-01-21T03:00:00-GST-001'}]",2016-01-21T03:00:00-GST-001,2016-01-21T03:00Z,"[{'activityID': '2016-01-15T00:00:00-CME-001'}, {'activityID': '2016-01-21T10:00:00-HSS-001'}]",2016-01-15T00:00:00-CME-001,2016-01-15 00:00:00+00:00,2016-01-21 03:00:00+00:00,6 days 03:00:00
2016-03-31T01:25:00-CME-001,2016-03-31T01:25Z,"[{'activityID': '2016-04-02T14:04:00-IPS-001'}, {'activityID': '2016-04-02T22:30:00-GST-001'}]",2016-04-02T22:30:00-GST-001,2016-04-02T22:30Z,[{'activityID': '2016-03-31T01:25:00-CME-001'}],2016-03-31T01:25:00-CME-001,2016-03-31 01:25:00+00:00,2016-04-02 22:30:00+00:00,2 days 21:05:00
2016-10-08T21:09:00-CME-001,2016-10-08T21:09Z,"[{'activityID': '2016-10-12T21:21:00-IPS-001'}, {'activityID': '2016-10-13T15:00:00-GST-001'}]",2016-10-13T15:00:00-GST-001,2016-10-13T15:00Z,"[{'activityID': '2016-10-08T21:09:00-CME-001'}, {'activityID': '2016-10-12T21:21:00-IPS-001'}]",2016-10-08T21:09:00-CME-001,2016-10-08 21:09:00+00:00,2016-10-13 15:00:00+00:00,4 days 17:51:00
2017-07-14T01:36:00-CME-001,2017-07-14T01:36Z,"[{'activityID': '2017-07-14T01:07:00-FLR-001'}, {'activityID': '2017-07-14T09:00:00-SEP-001'}, {'activityID': '2017-07-16T05:14:00-IPS-001'}, {'activityID': '2017-07-16T12:00:00-GST-001'}, {'activityID': 'none'}]",2017-07-16T12:00:00-GST-001,2017-07-16T12:00Z,"[{'activityID': '2017-07-14T01:36:00-CME-001'}, {'activityID': '2017-07-16T05:14:00-IPS-001'}, {'activityID': '2017-07-16T11:23:00-MPC-001'}]",2017-07-14T01:36:00-CME-001,2017-07-14 01:36:00+00:00,2017-07-16 12:00:00+00:00,2 days 10:24:00
2017-09-06T12:24:00-CME-001,2017-09-06T12:24Z,"[{'activityID': '2017-09-06T11:53:00-FLR-001'}, {'activityID': '2017-09-06T23:30:00-SEP-001'}, {'activityID': '2017-09-07T21:00:00-GST-001'}, {'activityID': '2017-09-07T22:30:00-IPS-001'}, {'activityID': '2017-09-07T23:58:00-MPC-001'}, {'activityID': '2017-09-08T12:00:00-GST-001'}]",2017-09-07T21:00:00-GST-001,2017-09-07T21:00Z,"[{'activityID': '2017-09-06T12:24:00-CME-001'}, {'activityID': '2017-09-07T22:30:00-IPS-001'}, {'activityID': '2017-09-07T23:58:00-MPC-001'}]",2017-09-06T12:24:00-CME-001,2017-09-06 12:24:00+00:00,2017-09-07 21:00:00+00:00,1 days 08:36:00
2017-09-06T12:24:00-CME-001,2017-09-06T12:24Z,"[{'activityID': '2017-09-06T11:53:00-FLR-001'}, {'activityID': '2017-09-06T23:30:00-SEP-001'}, {'activityID': '2017-09-07T21:00:00-GST-001'}, {'activityID': '2017-09-07T22:30:00-IPS-001'}, {'activityID': '2017-09-07T23:58:00-MPC-001'}, {'activityID': '2017-09-08T12:00:00-GST-001'}]",2017-09-08T12:00:00-GST-001,2017-09-08T12:00Z,"[{'activityID': '2017-09-06T12:24:00-CME-001'}, {'activityID': '2017-09-07T22:30:00-IPS-001'}, {'activityID': '2017-09-08T12:27:00-MPC-001'}]",2017-09-06T12:24:00-CME-001,2017-09-06 12:24:00+00:00,2017-09-08 12:00:00+00:00,1 days 23:36:00
2018-08-20T21:24:00-CME-001,2018-08-20T21:24Z,"[{'activityID': '2018-08-25T06:00:00-IPS-001'}, {'activityID': '2018-08-26T00:00:00-GST-001'}, {'activityID': '2018-08-26T18:40:00-RBE-001'}]",2018-08-26T00:00:00-GST-001,2018-08-26T00:00Z,"[{'activityID': '2018-08-20T21:24:00-CME-001'}, {'activityID': '2018-08-25T06:00:00-IPS-001'}]",2018-08-20T21:24:00-CME-001,2018-08-20 21:24:00+00:00,2018-08-26 00:00:00+00:00,5 days 02:36:00
2021-05-09T11:23:00-CME-001,2021-05-09T11:23Z,"[{'activityID': '2021-05-12T05:48:00-IPS-001'}, {'activityID': '2021-05-12T12:00:00-GST-001'}, {'activityID': '2021-05-12T12:47:00-MPC-001'}]",2021-05-12T12:00:00-GST-001,2021-05-12T12:00Z,"[{'activityID': '2021-05-09T11:23:00-CME-001'}, {'activityID': '2021-05-12T05:48:00-IPS-001'}, {'activityID': '2021-05-12T12:47:00-MPC-001'}]",2021-05-09T11:23:00-CME-001,2021-05-09 11:23:00+00:00,2021-05-12 12:00:00+00:00,3 days 00:37:00
2021-10-09T07:09:00-CME-001,2021-10-09T07:09Z,"[{'activityID': '2021-10-09T06:19:00-FLR-001'}, {'activityID': '2021-10-09T07:51:00-SEP-001'}, {'activityID': '2021-10-12T01:46:00-IPS-001'}, {'activityID': '2021-10-12T03:00:00-GST-001'}, {'activityID': '2021-10-12T12:30:00-IPS-001'}]",2021-10-12T03:00:00-GST-001,2021-10-12T03:00Z,[{'activityID': '2021-10-09T07:09:00-CME-001'}],2021-10-09T07:09:00-CME-001,2021-10-09 07:09:00+00:00,2021-10-12 03:00:00+00:00,2 days 19:51:00
2021-11-01T18:38:00-CME-001,2021-11-01T18:38Z,"[{'activityID': '2021-11-01T17:28:00-FLR-001'}, {'activityID': '2021-11-03T19:23:00-IPS-001'}, {'activityID': '2021-11-03T20:17:00-SEP-001'}, {'activityID': '2021-11-03T20:55:00-SEP-001'}, {'activityID': '2021-11-03T21:00:00-GST-001'}, {'activityID': '2021-11-03T21:29:00-MPC-001'}, {'activityID': '2021-11-04T10:50:00-RBE-001'}]",2021-11-03T21:00:00-GST-001,2021-11-03T21:00Z,"[{'activityID': '2021-11-01T18:38:00-CME-001'}, {'activityID': '2021-11-01T21:36:00-CME-001'}, {'activityID': '2021-11-02T02:48:00-CME-001'}, {'activityID': '2021-11-03T19:23:00-IPS-001'}, {'activityID': '2021-11-03T21:29:00-MPC-001'}]",2021-11-01T18:38:00-CME-001,2021-11-01 18:38:00+00:00,2021-11-03 21:00:00+00:00,2 days 02:22:00
2022-01-15T16:12:00-CME-001,2022-01-15T16:12Z,"[{'activityID': '2022-01-18T23:04:00-IPS-001'}, {'activityID': '2022-01-19T00:00:00-GST-001'}]",2022-01-19T00:00:00-GST-001,2022-01-19T00:00Z,"[{'activityID': '2022-01-15T16:12:00-CME-001'}, {'activityID': '2022-01-16T20:48:00-CME-001'}, {'activityID': '2022-01-18T23:04:00-IPS-001'}]",2022-01-15T16:12:00-CME-001,2022-01-15 16:12:00+00:00,2022-01-19 00:00:00+00:00,3 days 07:48:00
2022-01-29T23:36:00-CME-001,2022-01-29T23:36Z,"[{'activityID': '2022-01-29T22:45:00-FLR-001'}, {'activityID': '2022-02-01T21:37:00-IPS-001'}, {'activityID': '2022-02-01T22:00:00-IPS-001'}, {'activityID': '2022-02-03T06:00:00-GST-001'}, {'activityID': '2022-02-03T07:40:00-MPC-001'}, {'activityID': '2022-02-04T13:10:00-RBE-001'}]",2022-02-03T06:00:00-GST-001,2022-02-03T06:00Z,"[{'activityID': '2022-01-29T23:36:00-CME-001'}, {'activityID': '2022-02-01T21:37:00-IPS-001'}]",2022-01-29T23:36:00-CME-001,2022-01-29 23:36:00+00:00,2022-02-03 06:00:00+00:00,4 days 06:24:00
2022-03-10T19:23:00-CME-001,2022-03-10T19:23Z,"[{'activityID': '2022-03-10T18:17:00-FLR-001'}, {'activityID': '2022-03-13T06:35:00-IPS-001'}, {'activityID': '2022-03-13T10:11:00-IPS-001'}, {'activityID': '2022-03-13T12:00:00-GST-001'}]",2022-03-13T12:00:00-GST-001,2022-03-13T12:00Z,"[{'activityID': '2022-03-10T19:23:00-CME-001'}, {'activityID': '2022-03-13T10:11:00-IPS-001'}]",2022-03-10T19:23:00-CME-001,2022-03-10 19:23:00+00:00,2022-03-13 12:00:00+00:00,2 days 16:37:00
2022-04-07T05:36:00-CME-001,2022-04-07T05:36Z,"[{'activityID': '2022-04-09T12:46:00-IPS-001'}, {'activityID': '2022-04-10T03:00:00-GST-001'}]",2022-04-10T03:00:00-GST-001,2022-04-10T03:00Z,"[{'activityID': '2022-04-07T05:36:00-CME-001'}, {'activityID': '2022-04-09T12:46:00-IPS-001'}, {'activityID': '2022-04-09T20:44:00-HSS-001'}]",2022-04-07T05:36:00-CME-001,2022-04-07 05:36:00+00:00,2022-04-10 03:00:00+00:00,2 days 21:24:00
2022-04-11T06:00:00-CME-001,2022-04-11T06:00Z,"[{'activityID': '2022-04-11T05:00:00-FLR-001'}, {'activityID': '2022-04-14T03:37:00-IPS-001'}, {'activityID': '2022-04-14T15:00:00-GST-001'}, {'activityID': '2022-04-16T15:55:00-RBE-001'}]",2022-04-14T15:00:00-GST-001,2022-04-14T15:00Z,"[{'activityID': '2022-04-11T06:00:00-CME-001'}, {'activityID': '2022-04-14T03:37:00-IPS-001'}]",2022-04-11T06:00:00-CME-001,2022-04-11 06:00:00+00:00,2022-04-14 15:00:00+00:00,3 days 09:00:00
2022-08-13T18:48:00-CME-001,2022-08-13T18:48Z,"[{'activityID': '2022-08-17T02:14:00-IPS-001'}, {'activityID': '2022-08-17T18:00:00-GST-001'}, {'activityID': '2022-08-19T12:40:00-RBE-001'}]",2022-08-17T18:00:00-GST-001,2022-08-17T18:00Z,"[{'activityID': '2022-08-13T18:48:00-CME-001'}, {'activityID': '2022-08-14T12:48:00-CME-001'}, {'activityID': '2022-08-17T02:14:00-IPS-001'}, {'activityID': '2022-08-17T19:45:00-HSS-001'}]",2022-08-13T18:48:00-CME-001,2022-08-13 18:48:00+00:00,2022-08-17 18:00:00+00:00,3 days 23:12:00
2023-02-24T20:36:00-CME-001,2023-02-24T20:36Z,"[{'activityID': '2023-02-24T20:03:00-FLR-001'}, {'activityID': '2023-02-24T21:53:00-SEP-001'}, {'activityID': '2023-02-24T21:53:00-SEP-002'}, {'activityID': '2023-02-26T14:30:00-IPS-001'}, {'activityID': '2023-02-26T18:43:00-IPS-001'}, {'activityID': '2023-02-26T21:26:00-MPC-001'}, {'activityID': '2023-02-27T03:00:00-GST-001'}, {'activityID': '2023-02-28T21:55:00-RBE-001'}]",2023-02-27T03:00:00-GST-001,2023-02-27T03:00Z,"[{'activityID': '2023-02-24T20:36:00-CME-001'}, {'activityID': '2023-02-26T18:38:00-HSS-001'}, {'activityID': '2023-02-26T18:43:00-IPS-001'}, {'activityID': '2023-02-26T21:26:00-MPC-001'}, {'activityID': '2023-02-27T10:15:00-IPS-001'}]",2023-02-24T20:36:00-CME-001,2023-02-24 20:36:00+00:00,2023-02-27 03:00:00+00:00,2 days 06:24:00
2023-03-20T02:41:00-CME-001,2023-03-20T02:41Z,"[{'activityID': '2023-03-23T04:00:00-IPS-001'}, {'activityID': '2023-03-23T09:10:00-IPS-001'}, {'activityID': '2023-03-23T12:00:00-GST-001'}, {'activityID': '2023-03-23T14:52:00-MPC-001'}, {'activityID': '2023-03-27T00:25:00-RBE-001'}]",2023-03-23T12:00:00-GST-001,2023-03-23T12:00Z,"[{'activityID': '2023-03-20T02:41:00-CME-001'}, {'activityID': '2023-03-20T14:42:00-CME-001'}, {'activityID': '2023-03-23T09:10:00-IPS-001'}, {'activityID': '2023-03-23T14:52:00-MPC-001'}]",2023-03-20T02:41:00-CME-001,2023-03-20 02:41:00+00:00,2023-03-23 12:00:00+00:00,3 days 09:19:00
2023-04-21T18:12:00-CME-001,2023-04-21T18:12Z,"[{'activityID': '2023-04-21T17:44:00-FLR-001'}, {'activityID': '2023-04-23T11:48:00-SEP-001'}, {'activityID': '2023-04-23T13:58:00-SEP-001'}, {'activityID': '2023-04-23T14:00:00-IPS-001'}, {'activityID': '2023-04-23T17:00:00-IPS-001'}, {'activityID': '2023-04-23T17:28:00-SEP-001'}, {'activityID': '2023-04-23T17:44:00-SEP-001'}, {'activityID': '2023-04-23T18:00:00-GST-001'}, {'activityID': '2023-04-23T18:15:00-SEP-001'}, {'activityID': '2023-04-23T18:29:00-SEP-001'}, {'activityID': '2023-04-23T18:29:00-SEP-002'}, {'activityID': '2023-04-23T19:15:00-MPC-001'}, {'activityID': '2023-04-26T12:35:00-RBE-001'}]",2023-04-23T18:00:00-GST-001,2023-04-23T18:00Z,"[{'activityID': '2023-04-21T18:12:00-CME-001'}, {'activityID': '2023-04-23T17:00:00-IPS-001'}, {'activityID': '2023-04-23T19:15:00-MPC-001'}]",2023-04-21T18:12:00-CME-001,2023-04-21 18:12:00+00:00,2023-04-23 18:00:00+00:00,1 days 23:48:00
2023-08-02T09:12:00-CME-001,2023-08-02T09:12Z,"[{'activityID': '2023-08-05T02:10:00-IPS-001'}, {'activityID': '2023-08-05T03:00:00-GST-001'}, {'activityID': '2023-08-05T04:57:00-IPS-001'}, {'activityID': '2023-08-09T15:20:00-RBE-001'}, {'activityID': '2023-08-11T13:05:00-RBE-001'}]",2023-08-05T03:00:00-GST-001,2023-08-05T03:00Z,"[{'activityID': '2023-08-02T09:12:00-CME-001'}, {'activityID': '2023-08-05T02:10:00-IPS-001'}]",2023-08-02T09:12:00-CME-001,2023-08-02 09:12:00+00:00,2023-08-05 03:00:00+00:00,2 days 17:48:00
2023-09-14T23:12:00-CME-001,2023-09-14T23:12Z,"[{'activityID': '2023-09-14T21:17:00-FLR-001'}, {'activityID': '2023-09-18T17:54:00-MPC-001'}, {'activityID': '2023-09-19T00:00:00-GST-001'}, {'activityID': '2023-09-19T14:55:00-RBE-001'}]",2023-09-19T00:00:00-GST-001,2023-09-19T00:00Z,"[{'activityID': '2023-09-14T23:12:00-CME-001'}, {'activityID': '2023-09-16T09:12:00-CME-001'}, {'activityID': '2023-09-18T12:58:00-IPS-001'}, {'activityID': '2023-09-18T17:54:00-MPC-001'}]",2023-09-14T23:12:00-CME-001,2023-09-14 23:12:00+00:00,2023-09-19 00:00:00+00:00,4 days 00:48:00
2023-11-02T03:36:00-CME-001,2023-11-02T03:36Z,"[{'activityID': '2023-11-05T03:38:00-IPS-001'}, {'activityID': '2023-11-05T08:10:00-IPS-001'}, {'activityID': '2023-11-05T09:00:00-GST-001'}, {'activityID': '2023-11-05T10:34:00-MPC-001'}, {'activityID': '2023-11-07T15:35:00-RBE-001'}]",2023-11-05T09:00:00-GST-001,2023-11-05T09:00Z,"[{'activityID': '2023-11-02T03:36:00-CME-001'}, {'activityID': '2023-11-03T05:48:00-CME-001'}, {'activityID': '2023-11-05T08:10:00-IPS-001'}, {'activityID': '2023-11-05T10:34:00-MPC-001'}, {'activityID': '2023-11-05T11:45:00-IPS-001'}, {'activityID': '2023-11-05T14:52:00-MPC-001'}]",2023-11-02T03:36:00-CME-001,2023-11-02 03:36:00+00:00,2023-11-05 09:00:00+00:00,3 days 05:24:00
2023-11-22T21:36:00-CME-001,2023-11-22T21:36Z,"[{'activityID': '2023-11-22T18:58:00-FLR-001'}, {'activityID': '2023-11-25T04:30:00-IPS-001'}, {'activityID': '2023-11-25T07:59:00-IPS-001'}, {'activityID': '2023-11-25T09:28:00-MPC-001'}, {'activityID': '2023-11-25T18:00:00-GST-001'}]",2023-11-25T18:00:00-GST-001,2023-11-25T18:00Z,"[{'activityID': '2023-11-22T21:36:00-CME-001'}, {'activityID': '2023-11-24T18:50:00-IPS-001'}, {'activityID': '2023-11-24T18:50:00-HSS-001'}, {'activityID': '2023-11-25T07:59:00-IPS-001'}, {'activityID': '2023-11-25T09:28:00-MPC-001'}]",2023-11-22T21:36:00-CME-001,2023-11-22 21:36:00+00:00,2023-11-25 18:00:00+00:00,2 days 20:24:00
